যাওয়াই	যাওয়া
রিয়াদের	রিয়াদ
জানিয়ে	জানিয়ে
ব্লোয়ার	ব্লোয়ার
বাংলাবাজার	বাংলা
দেশগুলিকে	দেশ
গৃহে	গৃহ
সৈনিকরা	সৈনিক
সাতটির	সাত
রঙ্গক	রঙ্গ
জোকোভিচের	জোকোভিচ
টুলবার	টুলবার
বিধানাবলী	বিধান
মুক্তিসংগ্রাম	মুক্তি
মিস	মিস
পরিসংখ্যানবিদ	পরিসংখ্যান
প্রকৌশল	প্রকৌশল
মধ্যিখানে	মধ্যিখান
তভাবে	তভাব
দলবদলে	দল
আয়ুর্বেদিক	আয়ুর্বেদ
রোগপ্রতিরোধ	রোগ
শিশুশিল্পী	শিল্পী
ম্যানিলা	ম্যানিলা
পূর্বাঞ্চলের	পূর্বাঞ্চল
এডহক	এডহক
অপরিহার্যতা	অপরিহার্যতা
মৌমিতা	মৌমিতা
নুরুদ্দিন	নুরুদ্দিন
ব্যাসার্ধের	ব্যাসার্ধ
ছলনা	ছলনা
পেটেন্টের	পেটেন্ট
শিন	শিন
ভাইয়াকে	ভাই
ক্লিয়ারিং	ক্লিয়ার
বীতশ্রদ্ধ	বীত
রাওয়ালপিন্ডিতে	রাওয়ালপিন্ডি
কারবালা	কারবালা
জাফলংয়ে	জাফলং
ধরবে	ধর
তাপমাত্রাকে	তাপমাত্রা
সহায়তায়	সহায়তা
খ্রিষ্টাব্দ	খ্রিষ্টাব্দ
আইইউটি	আইইউটি
ডাইনামিক্স	ডাইনামিক্স
রিপেয়ার	রিপেয়ার
খসড়া	খসড়া
লেম্যান	লেম্যান
কম্পোজিশন	কম্পোজিশন
মান্দি	মান্দি
কেম্যান	ম্যান
জমায়েত	জমায়েত
দুপক্ষের	পক্ষ
এলজির	এলজি
সামান্য	সামান্য
ডেইরি	ডেইরি
ক্রিসমাসের	ক্রিসমাস
ভিড়ে	ভিড়
গ্রুপটির	গ্রুপ
হাস্যরস	হাস্য
পোর্তো	পোর্তো
মেগাপিক্সেলের	মেগাপিক্সেল
পারলেন	পার
শালাকে	শালা
কলেজ	কলেজ
ত্রিগুণ	ত্রিগুণ
গেইলের	গেইল
ক্রয়ের	ক্রয়
বিজয়ের	জয়
এক্স	এক্স
দয়াশীল	দয়া
ছেলেদেরকে	ছেলেদের
তোমরাই	তোমরা
কোর্সটি	কোর্স
খাঁড়া	খাঁড়া
মুখরোচক	মুখ
সাবমেরিনের	সাবমেরিন
গুণগ্রাহী	গুণগ্রাহী
প্রদর্শিত	দর্শিত
প্রয়োজনীয়তা	প্রয়োজন
পরিমাণগত	পরিমাণ
কান্দে	কান্দে
বিমাকৃত	বিমা
দুরত্ব	দুরত্ব
কৃতিত্ব	কৃত
ইলাহা	ইলাহা
বেলেল্লাপনা	বেলেল্লাপনা
জুডো	জুডো
গবেষণাগারের	গবেষণা
ফ্রয়েড	ফ্রয়েড
অসহিষ্ণু	সহিষ্ণু
মাইক্রোসফট	মাইক্রোসফট
ইডেনে	ইডেন
পিটিশনে	পিটিশন
তিলাওয়াত	তিলাওয়াত
প্রয়াস	প্রয়াস
প্রজ্ঞাকে	প্রজ্ঞা
পেটব্যথা	পেট
টেলিগ্রাফ	টেলিগ্রাফ
ট্রাকগুলো	ট্রাক
সহায়তাকারী	সহায়তা
মাইজপাড়া	মাইজপাড়া
শাস্তির	শাস্তি
বঙ্গবন্ধুকে	বঙ্গবন্ধু
করছেন	কর
ভিডিওসহ	ভিডিও
ফায়ারওয়াল	ওয়াল
ব্রিটিশের	ব্রিটিশ
কুঁড়েঘরে	ঘর
মুখকে	মুখ
মেরিনেট	মেরিনেট
বিড়ম্বনা	বিড়ম্বনা
নহে	নহে
চঞ্চু	চঞ্চু
আসামিপক্ষ	আসামিপক্ষ
মেসোপটেমিয়ায়	মেসোপটেমিয়ায়
মুলতবি	মুলতবি
ইমালসন	ইমালসন
সিলেট	সিলেট
লিখিত	লিখ
পরলে	পরল
চেয়ারের	চেয়ার
শিক্ষাক্ষেত্রে	শিক্ষা
ষাটগম্বুজ	গম্বুজ
মেয়াদে	মেয়াদ
ফিশন	ফিশন
আমলা	আমলা
জোরালোভাবে	জোরালো
ফ্লাইওভার	ফ্লাইওভার
কাঁপছে	কাঁপ
সুস্থে	সুস্থ
